"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pik3r1",2.32849158769021e-30,0.939513009256358,0.342,0.215,4.46814250761874e-26
"Snhg18",2.75316033741117e-30,0.946406016952032,0.259,0.141,5.2830393714583e-26
"Hnrnpa2b1",3.23068066892885e-30,0.783756341391549,0.408,0.276,6.19935313560758e-26
"Dnajc3",9.03657081959601e-30,0.466508003350214,0.7,0.593,1.73402757457228e-25
"Ndufa2",1.68586302090941e-29,0.662307506861011,0.438,0.302,3.23500255082306e-25
"Mycbp2",2.1449613948761e-29,1.02314045233063,0.291,0.171,4.11596642062774e-25
"Tmbim6",4.58463621487818e-29,0.412307653414771,0.698,0.576,8.79745843272974e-25
"Rack1",1.02149157023665e-28,0.270237403726115,0.861,0.733,1.96014017412711e-24
"Pitpnc1",1.13762834877389e-28,1.03179592407347,0.251,0.139,2.18299503846221e-24
"Cox6c",1.23816013525632e-28,0.390456278101283,0.682,0.569,2.37590548354335e-24
"Snrnp70",1.34126887383439e-28,0.933813275468344,0.299,0.178,2.57376084200082e-24
"Atrx",1.68227258052919e-28,1.10856794963356,0.268,0.157,3.22811285477747e-24
"H2bc4",2.38898740026121e-28,0.7029988384606,0.422,0.292,4.58422792236124e-24
"Sec61g",2.94326587961121e-28,0.373594117882083,0.792,0.701,5.64783289638595e-24
"Rps20",3.14780283068957e-28,0.255180589731478,0.99,0.983,6.04031885181022e-24
"Serbp1",3.33524173413403e-28,0.898858510136745,0.317,0.197,6.3999953636298e-24
"Ndufa7",3.5842409342808e-28,0.720849740219372,0.414,0.291,6.87779992879143e-24
"Ptprt",7.87489662554535e-28,1.07847959546319,0.274,0.16,1.5111139134759e-23
"Gm20275",8.80976534493577e-28,0.825941827176399,0.45,0.325,1.69050587203973e-23
"Rps27l",1.09203024128662e-27,0.333487487519602,0.947,0.915,2.0954968300049e-23
"Galnt3",2.10411016666856e-27,0.821315153848241,0.345,0.223,4.03757699882031e-23
"Ncor1",4.29631421181421e-27,0.886292811222774,0.295,0.179,8.24419734105028e-23
"Phlda1",6.73178425198168e-27,0.404668518198207,0.917,0.849,1.29176208011276e-22
"Cgnl1",7.55467514209997e-27,0.85552750066608,0.405,0.288,1.44966661301756e-22
"Tns3",7.62180513133109e-27,1.00823449474846,0.299,0.183,1.46254818665112e-22
"Ank3",1.10161051842726e-26,0.873691467242965,0.34,0.219,2.11388042381007e-22
"Gspt1",1.43983897981413e-26,0.906796282294778,0.252,0.142,2.76290701836533e-22
