"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hsbp17",6.6716222945563e-14,0.704231264971686,0.282,0.149,1.33605908070784e-09,"27","Hsbp1"
"Rere12",6.81623798894944e-14,0.665979749849845,0.389,0.233,1.36501981966702e-09,"27","Rere"
"Ptprk12",7.05798045207055e-14,0.893316738416377,0.38,0.234,1.41343116533165e-09,"27","Ptprk"
"Clk16",7.44275216303964e-14,0.955316359174535,0.27,0.144,1.49048554817032e-09,"27","Clk1"
"Arpp194",1.08503229222295e-13,0.766664935816679,0.259,0.134,2.17288566840569e-09,"27","Arpp19"
"Tspo9",1.10919312348414e-13,0.464846948973903,0.377,0.215,2.22127014908933e-09,"27","Tspo"
"Arl1513",1.12248495550651e-13,0.727003820878341,0.355,0.207,2.24788837189733e-09,"27","Arl15"
"Ankrd1710",1.13180215644565e-13,0.892467298326708,0.307,0.173,2.26654699849806e-09,"27","Ankrd17"
"Psenen6",1.2500883861296e-13,0.760275839757988,0.261,0.136,2.50342700206314e-09,"27","Psenen"
"Map3k17",1.53095419534569e-13,0.781905955543931,0.298,0.165,3.06588887159927e-09,"27","Map3k1"
"Vdac28",1.74984733085637e-13,0.403456945433148,0.425,0.253,3.50424426477296e-09,"27","Vdac2"
"Ube2h10",2.52744627600081e-13,0.919162952833242,0.293,0.166,5.06146391231923e-09,"27","Ube2h"
"Vdac34",2.63689652972737e-13,0.64180914696396,0.268,0.141,5.28064899043203e-09,"27","Vdac3"
"Mrps165",2.71110260216949e-13,0.6944355543766,0.273,0.145,5.42925407110462e-09,"27","Mrps16"
"Hspd17",2.82407015515835e-13,0.687767163279545,0.295,0.161,5.65548289272011e-09,"27","Hspd1"
"Mrpl205",2.90302231428961e-13,0.880010163780983,0.257,0.137,5.81359248659638e-09,"27","Mrpl20"
"Pnisr8",3.89370000293214e-13,0.888155351414988,0.264,0.142,7.7975236258719e-09,"27","Pnisr"
"Cldn76",4.76974547969898e-13,0.877845145496609,0.268,0.145,9.55189229764517e-09,"27","Cldn7"
"Dennd2b8",5.37446996397962e-13,0.81013772659553,0.345,0.208,1.07629135498656e-08,"27","Dennd2b"
"Micos139",6.19800562095297e-13,0.363901838827281,0.468,0.292,1.24121260565204e-08,"27","Micos13"
"Fndc3a6",7.68464036157055e-13,1.01490024244436,0.259,0.142,1.53892607880812e-08,"27","Fndc3a"
"Eif3c8",9.24997863058665e-13,0.877593596338914,0.266,0.145,1.85240072056128e-08,"27","Eif3c"
"Ncor112",1.09533865421838e-12,0.738461503597891,0.35,0.212,2.19352518893773e-08,"27","Ncor1"
"Higd2a7",1.49451803154624e-12,0.554035313981426,0.293,0.161,2.9929218099745e-08,"27","Higd2a"
"Atp6v1d4",2.2738846980939e-12,0.691493196844979,0.25,0.132,4.55368149640284e-08,"27","Atp6v1d"
"Pomp9",2.28358173445314e-12,0.402998601499177,0.416,0.257,4.57310078141585e-08,"27","Pomp"
"Tmed106",2.29650302969803e-12,0.962833424490218,0.25,0.136,4.59897696727328e-08,"27","Tmed10"
"Ash1l9",2.47185362520175e-12,0.895850915459475,0.277,0.157,4.95013406982902e-08,"27","Ash1l"
"Dtnb8",3.61527714483097e-12,0.78871962943942,0.305,0.177,7.23995401023849e-08,"27","Dtnb"
"Bloc1s18",4.78027318481481e-12,0.711049634558732,0.266,0.146,9.57297507991013e-08,"27","Bloc1s1"
"Snrnp7010",6.12874582878513e-12,0.855110566189537,0.28,0.16,1.22734263967251e-07,"27","Snrnp70"
"Hnrnpu9",9.0509169408043e-12,0.814551671002683,0.3,0.176,1.81253662656547e-07,"27","Hnrnpu"
"Sp1005",1.10106539953505e-11,0.764782963525732,0.266,0.148,2.20499356910889e-07,"27","Sp100"
"Ndufb19",1.61480849964492e-11,0.336875333604781,0.423,0.263,3.23381550138892e-07,"27","Ndufb1"
"Ndufs78",1.99491153269569e-11,0.421205250939339,0.384,0.235,3.99500983537638e-07,"27","Ndufs7"
"Pak27",2.11245528689482e-11,0.762728904811971,0.264,0.148,4.23040295753557e-07,"27","Pak2"
"Canx6",2.34986460796162e-11,0.812942531887094,0.289,0.17,4.70583886390394e-07,"27","Canx"
"Mbnl213",2.390873658505e-11,0.498743595154236,0.482,0.322,4.78796358852211e-07,"27","Mbnl2"
