"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Exoc41",2.54487641563777e-131,1.4696665908385,0.475,0.304,4.85282483697967e-127,"0","Exoc4"
"Elapor1",3.29685721359534e-131,1.38710253898637,0.482,0.313,6.28677702060495e-127,"0","Elapor1"
"Wwc1",1.65711627681254e-129,1.41369726455279,0.475,0.309,3.15995502825383e-125,"0","Wwc1"
"Fndc3b",3.47439665265195e-122,1.4816568536704,0.449,0.29,6.625326976942e-118,"0","Fndc3b"
"Snrnp70",5.52338457568512e-122,1.65956541474711,0.373,0.212,1.0532542047374e-117,"0","Snrnp70"
"Dtnb",1.46896137293498e-121,1.53558194492915,0.406,0.248,2.80116244204972e-117,"0","Dtnb"
"Eif4g3",1.77494721776327e-119,1.63520670537598,0.387,0.23,3.38464684955278e-115,"0","Eif4g3"
"Erbb4",2.57982396222733e-117,1.71199940255519,0.359,0.203,4.9194663135713e-113,"0","Erbb4"
"Mad1l1",5.3322526185087e-117,1.74961455016661,0.342,0.187,1.01680725182342e-112,"0","Mad1l1"
"Hexb",1.58513069788675e-115,1.86492803520438,0.413,0.265,3.02268572780025e-111,"0","Hexb"
"Ank3",1.78445526580154e-115,1.52211982601077,0.424,0.274,3.40277774635696e-111,"0","Ank3"
"Gm57537",2.12900545868325e-114,1.48019845903327,0.402,0.249,4.05980050916309e-110,"0","Gm57537"
"Elmo1",1.42210331323192e-113,1.53938712487415,0.407,0.256,2.71180880800195e-109,"0","Elmo1"
"Cracr2a",8.81592636005501e-113,1.79057768900007,0.294,0.144,1.68110899759889e-108,"0","Cracr2a"
"Calr",9.1111163151785e-111,0.815267318946202,0.645,0.467,1.73739877014139e-106,"0","Calr"
"Nfix1",6.18936904067561e-110,1.28159654973168,0.473,0.324,1.18025078236643e-105,"0","Nfix"
"Prpf4b",2.60365401544924e-108,1.71965007469381,0.308,0.16,4.96490784206016e-104,"0","Prpf4b"
"Arhgef28",2.76670060864012e-107,1.58243240217071,0.378,0.233,5.27582139061584e-103,"0","Arhgef28"
"Airn1",1.67353082903175e-106,1.4193242727064,0.421,0.273,3.19125593788065e-102,"0","Airn"
